"ADOB_ID";"ADOB_LIIK";"ADS_OID";"TUNNUS";"ETAK_ID";"HOONE_OID";"AADRESS";"VIITEPUNKT_X";"VIITEPUNKT_Y";"OLEK";"KEHTIV_ALATES";"KEHTIV_KUNI"
8319730;"AY";"AY00006616";"6616";;;"Pärnu maakond, Põhja-Pärnumaa vald, Pärnjõe küla";554094,07;6499908,72;"K";31.10.2017;
8319731;"AY";"AY00006617";"6617";;;"Pärnu maakond, Põhja-Pärnumaa vald, Pärnu-Jaagupi alev";529841,32;6496986,22;"K";31.10.2017;
8319854;"AY";"AY00005049";"5049";;;"Pärnu maakond, Lääneranna vald, Muriste küla";475381,61;6485844,82;"K";31.10.2017;
8484390;"AY";"AY00002016";"2016";;;"Valga maakond, Valga vald, Iigaste küla";636176,19;6412944,89;"K";1.11.2017;
8484392;"AY";"AY00002384";"2384";;;"Valga maakond, Valga vald, Kaagjärve küla";630726,52;6405477,54;"K";1.11.2017;
8319715;"AY";"AY00004696";"4696";;;"Pärnu maakond, Põhja-Pärnumaa vald, Lüüste küla";566203,42;6499990,83;"K";31.10.2017;
8319716;"AY";"AY00004743";"4743";;;"Pärnu maakond, Põhja-Pärnumaa vald, Maima küla";524695,17;6494053,0;"K";31.10.2017;
8319855;"AY";"AY00005127";"5127";;;"Pärnu maakond, Lääneranna vald, Mõisaküla";473719,89;6504445,54;"K";31.10.2017;
8319856;"AY";"AY00005173";"5173";;;"Pärnu maakond, Lääneranna vald, Mõtsu küla";491350,33;6486689,37;"K";31.10.2017;
8319857;"AY";"AY03309291";"5174";;;"Pärnu maakond, Lääneranna vald, Mõisimaa küla";502995,26;6508843,8;"K";31.10.2017;
8319858;"AY";"AY00005202";"5202";;;"Pärnu maakond, Lääneranna vald, Mäense küla";478105,55;6503661,55;"K";31.10.2017;
8319859;"AY";"AY00005247";"5247";;;"Pärnu maakond, Lääneranna vald, Mäliküla";483641,56;6477158,44;"K";31.10.2017;
8484494;"AY";"AY00001152";"1152";;;"Valga maakond, Tõrva vald, Aitsra küla";614065,1;6417896,53;"K";1.11.2017;
8484496;"AY";"AY00001171";"1171";;;"Valga maakond, Tõrva vald, Alamõisa küla";619588,16;6424916,93;"K";1.11.2017;
8484498;"AY";"AY00001883";"1883";;;"Valga maakond, Tõrva vald, Holdre küla";602682,09;6424468,38;"K";1.11.2017;
8319717;"AY";"AY00004808";"4808";;;"Pärnu maakond, Põhja-Pärnumaa vald, Massu küla";555771,29;6498825,54;"K";31.10.2017;
8319719;"AY";"AY00004913";"4913";;;"Pärnu maakond, Põhja-Pärnumaa vald, Metsavere küla";540467,5;6501367,26;"K";31.10.2017;
8319720;"AY";"AY00005072";"5072";;;"Pärnu maakond, Põhja-Pärnumaa vald, Mustaru küla";562366,3;6497885,86;"K";31.10.2017;
8319860;"AY";"AY00005344";"5344";;;"Pärnu maakond, Lääneranna vald, Naissoo küla";509897,84;6495981,13;"K";31.10.2017;
